sourate,verset,jummal,lettres
3,30,6462,96
3,31,5810,62
3,32,1840,47
3,33,1459,48
3,34,3157,27
3,35,6175,66
3,36,11117,109
3,37,8504,138
3,38,2499,52
3,39,3305,92
3,40,5585,63
3,41,5717,80
3,42,2895,60
3,43,1997,37
3,44,6787,81
3,45,4842,91
3,46,796,33
3,47,6271,79
3,48,1505,35
3,49,11534,187
3,50,4982,80
3,51,2421,34
3,52,3231,86
3,53,2798,46
3,54,1839,30
3,55,10057,132
3,56,4853,60
3,57,3322,59
3,58,2970,32
3,59,3966,47
3,60,1893,25
3,61,5511,114
3,62,1917,54
3,63,1198,28
3,64,8135,129
3,65,3668,70
3,66,3795,75
3,67,2202,61
3,68,3850,66
3,69,3981,54
3,70,3069,39
3,71,3487,52
3,72,5085,79
3,73,6439,115
3,74,4927,34
3,75,6592,144
3,76,1680,36
3,77,7539,116
3,78,5645,120
3,79,6519,120
3,80,5148,67
3,81,13160,146
3,82,1962,29
3,83,5127,62
3,84,4062,126
3,85,5329,52
3,86,3611,83
3,87,1021,47
3,88,3859,37
3,89,4032,43
3,90,4738,62
3,91,6369,91
3,92,3842,56
3,93,5658,99
3,94,3956,44
3,95,2292,47
3,96,2896,42
3,97,5870,99
3,98,3075,50
3,99,6005,77
3,100,4483,69
3,101,5282,74
3,102,4193,54
3,103,12215,157
3,104,3417,70
3,105,5934,65
3,106,7218,81
3,107,3438,43
3,108,3260,49
3,109,2974,44
3,110,8539,113
3,111,3891,48
3,112,12740,152
3,113,2269,59
3,114,4603,84
3,115,2480,40
3,116,4867,77
3,117,8660,98
3,118,10967,125
3,119,12255,127
3,120,5915,88
3,121,4116,49
3,122,3854,57
3,123,3867,47
3,124,3745,60
3,125,4947,69
3,126,2569,68
3,127,3133,43
3,128,3440,45
3,129,6438,61
3,130,4933,62
3,131,2133,27
3,132,1396,29
3,133,5914,55
3,134,6359,71
3,135,10205,104
3,136,5449,70
3,137,5505,54
3,138,2652,29
3,139,2450,41
3,140,7276,105
3,141,1695,33
3,142,3526,60
3,143,5436,51
3,144,7142,107
3,145,7023,99
3,146,4606,88
3,147,5907,87
3,148,3009,50
3,149,4776,64
3,150,1494,26
3,151,4961,84
3,152,13511,166
3,153,9145,106
3,154,20591,291
3,155,6280,89
3,156,11817,157
3,157,4651,53
3,158,2654,28
3,159,11678,121
3,160,6392,75
3,161,7111,68
3,162,3314,53
3,163,1466,32
3,164,5979,107
3,165,4847,73
3,166,2305,47
3,167,7728,151
3,168,4688,74
3,169,3389,54
3,170,5939,78
3,171,3742,47
3,172,5167,69
3,173,3512,77
3,174,6178,64
3,175,4776,54
3,176,7541,87
3,177,4635,53
3,178,4499,74
3,179,10216,146
3,180,9825,122
3,181,7954,95
3,182,2764,37
3,183,8327,120
3,184,3862,55
3,185,6468,99
3,186,9582,108
3,187,11109,99
